date,day_of_week,season,temperature,rain,local_event,predicted_total_demand,dish1_sales_yesterday,dish2_sales_yesterday,dish3_sales_yesterday,dish1_probability,dish2_probability,dish3_probability
2030-10-31,Thursday,Autumn,17.9,1,0,66,25,33,7,0.494,0.282,0.225
2030-11-01,Friday,Autumn,28.6,1,0,91,33,33,5,0.562,0.248,0.19
2030-11-02,Saturday,Autumn,19.4,0,1,170,30,31,5,0.521,0.315,0.164
2030-11-03,Sunday,Autumn,-8.9,0,0,110,33,28,5,0.387,0.374,0.239
2030-11-04,Monday,Autumn,22.6,0,0,112,38,34,5,0.571,0.27,0.158
2030-11-05,Tuesday,Autumn,3.7,0,0,108,36,40,7,0.457,0.347,0.196
2030-11-06,Wednesday,Autumn,22.2,0,0,114,43,43,9,0.552,0.285,0.163
2030-11-07,Thursday,Autumn,26.7,0,1,145,41,38,5,0.559,0.298,0.142
2030-11-08,Friday,Autumn,34.4,0,0,138,40,45,5,0.594,0.269,0.136
2030-11-09,Saturday,Autumn,25.6,1,0,134,39,36,11,0.544,0.251,0.205
2030-11-10,Sunday,Autumn,4.6,1,0,108,34,47,13,0.409,0.34,0.25
2030-11-11,Monday,Autumn,10.5,1,1,125,41,38,5,0.468,0.329,0.203
2030-11-12,Tuesday,Autumn,2.1,0,0,97,39,38,8,0.458,0.34,0.202
2030-11-13,Wednesday,Autumn,-0.9,0,0,70,46,36,5,0.472,0.336,0.192
2030-11-14,Thursday,Autumn,-1.1,1,0,54,44,37,5,0.438,0.326,0.236
2030-11-15,Friday,Autumn,13.1,1,0,72,35,38,5,0.489,0.298,0.213
2030-11-16,Saturday,Autumn,19.4,0,1,177,40,26,5,0.554,0.287,0.159
2030-11-17,Sunday,Autumn,-4.6,0,0,104,33,22,5,0.436,0.33,0.234
2030-11-18,Monday,Autumn,11.8,0,0,108,38,36,5,0.519,0.306,0.175
2030-11-19,Tuesday,Autumn,16.4,0,0,99,34,35,5,0.534,0.296,0.171
2030-11-20,Wednesday,Autumn,1.0,0,0,82,36,28,8,0.464,0.317,0.218
2030-11-21,Thursday,Autumn,28.7,0,0,120,36,31,7,0.593,0.248,0.159
2030-11-22,Friday,Autumn,6.7,1,0,75,39,33,6,0.474,0.295,0.231
2030-11-23,Saturday,Autumn,26.6,1,0,137,41,40,5,0.555,0.262,0.183
2030-11-24,Sunday,Autumn,22.2,0,0,149,30,46,9,0.519,0.31,0.17
2030-11-25,Monday,Autumn,22.7,1,0,107,37,45,17,0.502,0.277,0.222
2030-11-26,Tuesday,Autumn,24.2,0,0,121,51,50,19,0.543,0.279,0.178
2030-11-27,Wednesday,Autumn,33.0,1,0,106,54,50,20,0.555,0.249,0.197
2030-11-28,Thursday,Autumn,20.5,0,0,107,56,61,16,0.525,0.31,0.166
2030-11-29,Friday,Autumn,20.5,0,1,147,54,61,19,0.497,0.334,0.169
2030-11-30,Saturday,Autumn,24.9,0,0,157,55,54,19,0.545,0.282,0.173
2030-12-01,Sunday,Winter,-2.5,1,1,125,54,53,23,0.383,0.362,0.255
2030-12-02,Monday,Winter,21.9,0,0,115,59,48,32,0.53,0.26,0.21
2030-12-03,Tuesday,Winter,19.9,0,0,116,51,44,30,0.518,0.264,0.218
2030-12-04,Wednesday,Winter,4.6,1,1,104,54,35,41,0.419,0.281,0.301
2030-12-05,Thursday,Winter,33.7,1,0,106,45,42,38,0.527,0.225,0.248
2030-12-06,Friday,Winter,25.2,0,0,118,45,30,41,0.532,0.216,0.252
2030-12-07,Saturday,Winter,19.6,1,0,138,44,35,34,0.491,0.236,0.273
2030-12-08,Sunday,Winter,18.3,1,0,123,51,26,35,0.514,0.208,0.278
2030-12-09,Monday,Winter,18.8,1,0,79,43,35,39,0.478,0.235,0.287
2030-12-10,Tuesday,Winter,1.2,0,1,90,50,33,37,0.419,0.306,0.276
2030-12-11,Wednesday,Winter,30.1,0,0,130,49,32,35,0.563,0.214,0.223
2030-12-12,Thursday,Winter,22.4,1,1,125,47,37,39,0.479,0.257,0.264
2030-12-13,Friday,Winter,-0.8,0,0,93,41,40,32,0.398,0.318,0.284
2030-12-14,Saturday,Winter,11.2,0,1,145,48,35,35,0.462,0.29,0.248
2030-12-15,Sunday,Winter,13.1,0,0,151,51,33,33,0.505,0.248,0.248
2030-12-16,Monday,Winter,6.5,1,0,66,49,35,37,0.44,0.255,0.305
2030-12-17,Tuesday,Winter,11.5,0,0,88,60,43,39,0.489,0.262,0.249
2030-12-18,Wednesday,Winter,16.4,0,0,96,61,40,42,0.51,0.242,0.248
2030-12-19,Thursday,Winter,29.8,0,0,109,67,45,43,0.555,0.225,0.219
2030-12-20,Friday,Winter,3.4,0,0,82,64,45,46,0.449,0.274,0.277
2030-12-21,Saturday,Winter,15.3,0,0,135,69,46,50,0.499,0.244,0.256
2030-12-22,Sunday,Winter,23.1,1,1,162,74,44,47,0.507,0.243,0.251
2030-12-23,Monday,Winter,20.7,0,0,124,82,47,49,0.539,0.228,0.233
2030-12-24,Tuesday,Winter,32.6,0,0,125,79,36,51,0.582,0.189,0.229
2030-12-25,Wednesday,Winter,16.3,0,0,77,81,39,51,0.532,0.217,0.251
2030-12-26,Thursday,Winter,18.3,0,0,104,78,40,57,0.523,0.214,0.262
2030-12-27,Friday,Winter,5.6,0,0,98,80,33,56,0.494,0.217,0.289
2030-12-28,Saturday,Winter,5.7,0,0,139,76,40,54,0.479,0.238,0.282
2030-12-29,Sunday,Winter,19.9,0,0,151,83,41,51,0.544,0.214,0.242
2030-12-30,Monday,Winter,8.2,1,0,53,78,39,51,0.481,0.224,0.295
2030-12-31,Tuesday,Winter,25.6,0,0,111,72,42,46,0.55,0.219,0.23
2031-01-01,Wednesday,Winter,20.6,0,0,116,64,35,43,0.537,0.219,0.244
2031-01-02,Thursday,Winter,15.4,0,0,106,66,43,41,0.513,0.247,0.241
2031-01-03,Friday,Winter,19.8,0,0,111,67,42,30,0.55,0.244,0.206
2031-01-04,Saturday,Winter,7.1,0,0,115,68,41,22,0.521,0.273,0.206
2031-01-05,Sunday,Winter,8.9,0,0,129,76,44,13,0.554,0.276,0.169
2031-01-06,Monday,Winter,29.5,0,0,112,78,59,13,0.596,0.267,0.137
2031-01-07,Tuesday,Winter,31.2,1,0,125,81,56,10,0.595,0.249,0.157
2031-01-08,Wednesday,Winter,9.2,1,0,92,88,59,15,0.526,0.285,0.189
2031-01-09,Thursday,Winter,13.9,0,0,97,86,61,14,0.557,0.293,0.151
2031-01-10,Friday,Winter,29.5,0,0,126,89,60,22,0.594,0.253,0.153
2031-01-11,Saturday,Winter,16.0,0,0,137,87,62,12,0.567,0.291,0.143
2031-01-12,Sunday,Winter,9.6,0,0,135,92,56,8,0.572,0.29,0.139
2031-01-13,Monday,Winter,29.5,1,1,122,85,48,12,0.586,0.255,0.159
2031-01-14,Tuesday,Winter,14.5,1,0,68,81,40,5,0.583,0.246,0.172
2031-01-15,Wednesday,Winter,8.2,0,0,99,86,38,5,0.598,0.259,0.143
2031-01-16,Thursday,Winter,6.5,0,0,100,90,40,5,0.595,0.263,0.142
2031-01-17,Friday,Winter,6.4,0,0,83,96,33,5,0.619,0.239,0.142
2031-01-18,Saturday,Winter,-2.4,0,0,128,100,42,14,0.559,0.269,0.172
2031-01-19,Sunday,Winter,24.7,0,0,144,94,42,16,0.629,0.223,0.149
2031-01-20,Monday,Winter,12.4,0,0,94,93,45,27,0.568,0.243,0.189
2031-01-21,Tuesday,Winter,10.7,1,0,96,88,38,30,0.541,0.223,0.235
2031-01-22,Wednesday,Winter,10.6,1,0,66,85,41,30,0.531,0.233,0.236
2031-01-23,Thursday,Winter,-1.5,0,1,100,84,37,30,0.49,0.287,0.223
2031-01-24,Friday,Winter,29.5,0,0,126,82,42,30,0.601,0.216,0.183
2031-01-25,Saturday,Winter,17.5,0,0,138,75,48,29,0.547,0.255,0.198
2031-01-26,Sunday,Winter,27.6,0,0,166,85,46,25,0.602,0.228,0.17
2031-01-27,Monday,Winter,10.9,0,0,86,83,45,23,0.554,0.258,0.188
2031-01-28,Tuesday,Winter,14.5,1,0,72,79,42,31,0.531,0.233,0.236
2031-01-29,Wednesday,Winter,13.3,1,0,80,77,52,36,0.5,0.256,0.244
2031-01-30,Thursday,Winter,8.3,1,0,50,76,55,33,0.481,0.275,0.245
2031-01-31,Friday,Winter,19.5,0,0,102,81,61,35,0.533,0.269,0.197
2031-02-01,Saturday,Winter,16.4,0,0,142,78,63,31,0.522,0.285,0.193
2031-02-02,Sunday,Winter,32.8,0,0,169,71,64,22,0.573,0.27,0.157
2031-02-03,Monday,Winter,24.6,0,0,112,68,65,29,0.532,0.285,0.183
2031-02-04,Tuesday,Winter,6.4,0,0,93,64,59,32,0.462,0.313,0.224
2031-02-05,Wednesday,Winter,7.9,0,0,98,65,59,24,0.483,0.317,0.2
2031-02-06,Thursday,Winter,3.2,0,0,87,70,48,24,0.492,0.296,0.212
2031-02-07,Friday,Winter,15.1,0,0,117,76,48,22,0.553,0.265,0.183
2031-02-08,Saturday,Winter,19.6,1,0,127,70,45,32,0.527,0.238,0.235
2031-02-09,Sunday,Winter,23.4,0,0,132,67,47,27,0.558,0.251,0.191
2031-02-10,Monday,Winter,20.8,0,1,147,65,38,26,0.543,0.265,0.191
2031-02-11,Tuesday,Winter,23.0,1,0,101,63,44,21,0.545,0.244,0.21
2031-02-12,Wednesday,Winter,20.4,1,1,116,60,48,20,0.507,0.288,0.204
2031-02-13,Thursday,Winter,16.7,0,0,99,59,47,15,0.542,0.283,0.174
2031-02-14,Friday,Winter,7.1,0,0,87,56,47,9,0.508,0.319,0.173
2031-02-15,Saturday,Winter,13.4,0,1,174,50,53,11,0.486,0.35,0.163
2031-02-16,Sunday,Winter,28.4,0,1,201,51,50,12,0.548,0.303,0.148
2031-02-17,Monday,Winter,18.2,0,0,118,38,43,15,0.514,0.296,0.191
2031-02-18,Tuesday,Winter,15.4,0,0,108,34,41,16,0.494,0.302,0.204
2031-02-19,Wednesday,Winter,11.8,1,0,77,30,37,14,0.454,0.295,0.251
2031-02-20,Thursday,Winter,12.7,0,0,83,30,28,15,0.499,0.279,0.222
2031-02-21,Friday,Winter,0.1,1,0,47,29,28,11,0.403,0.311,0.286
2031-02-22,Saturday,Winter,18.3,1,0,140,28,32,14,0.491,0.266,0.243
2031-02-23,Sunday,Winter,26.8,0,1,174,34,27,17,0.545,0.267,0.189
2031-02-24,Monday,Winter,20.7,1,1,115,30,15,21,0.503,0.237,0.26
2031-02-25,Tuesday,Winter,6.8,0,0,91,33,22,13,0.493,0.275,0.232
2031-02-26,Wednesday,Winter,9.9,0,0,80,33,20,18,0.503,0.253,0.244
2031-02-27,Thursday,Winter,5.4,1,0,64,26,18,18,0.434,0.255,0.311
2031-02-28,Friday,Winter,28.2,0,0,105,29,20,17,0.58,0.216,0.204
2031-03-01,Saturday,Spring,3.5,1,0,102,27,19,20,0.419,0.26,0.321
2031-03-02,Sunday,Spring,7.8,0,0,135,22,17,18,0.465,0.265,0.27
2031-03-03,Monday,Spring,12.8,0,0,85,11,7,10,0.508,0.238,0.254
2031-03-04,Tuesday,Spring,10.1,1,0,76,9,9,6,0.456,0.247,0.297
2031-03-05,Wednesday,Spring,21.8,0,0,100,5,13,7,0.536,0.247,0.217
2031-03-06,Thursday,Spring,17.5,0,0,102,5,14,5,0.513,0.267,0.219
2031-03-07,Friday,Spring,26.7,0,0,115,10,15,5,0.574,0.236,0.19
2031-03-08,Saturday,Spring,1.6,0,1,145,8,15,7,0.367,0.376,0.257
2031-03-09,Sunday,Spring,-3.8,1,0,77,5,11,5,0.31,0.324,0.366
2031-03-10,Monday,Spring,-1.2,0,0,83,5,7,8,0.37,0.311,0.319
2031-03-11,Tuesday,Spring,18.3,0,0,112,5,5,5,0.544,0.228,0.228
2031-03-12,Wednesday,Spring,9.2,1,0,63,12,5,5,0.473,0.23,0.297
2031-03-13,Thursday,Spring,37.1,0,1,166,10,5,5,0.613,0.218,0.169
2031-03-14,Friday,Spring,4.6,1,0,80,11,7,5,0.429,0.256,0.315
2031-03-15,Saturday,Spring,28.0,0,0,167,7,11,5,0.584,0.222,0.194
2031-03-16,Sunday,Spring,13.2,0,0,130,5,7,5,0.505,0.253,0.242
2031-03-17,Monday,Spring,10.6,1,0,86,5,5,6,0.455,0.235,0.31
2031-03-18,Tuesday,Spring,8.0,0,0,79,5,9,6,0.457,0.281,0.262
2031-03-19,Wednesday,Spring,21.0,0,1,140,5,6,5,0.524,0.271,0.206
2031-03-20,Thursday,Spring,8.3,0,0,86,5,5,7,0.468,0.26,0.272
2031-03-21,Friday,Spring,-4.8,1,0,47,8,5,23,0.291,0.259,0.449
2031-03-22,Saturday,Spring,25.3,1,1,157,9,5,25,0.487,0.216,0.297
2031-03-23,Sunday,Spring,39.2,0,0,177,14,5,17,0.628,0.162,0.21
2031-03-24,Monday,Spring,-9.0,1,0,32,5,5,11,0.245,0.31,0.446
2031-03-25,Tuesday,Spring,-17.5,0,1,105,5,5,18,0.101,0.445,0.454
2031-03-26,Wednesday,Spring,17.1,0,1,125,9,5,15,0.49,0.26,0.25
2031-03-27,Thursday,Spring,21.2,0,0,123,13,5,16,0.552,0.198,0.251
2031-03-28,Friday,Spring,23.3,0,0,122,18,5,20,0.564,0.184,0.252
2031-03-29,Saturday,Spring,10.6,0,0,126,16,5,14,0.504,0.223,0.272
2031-03-30,Sunday,Spring,20.0,0,0,140,11,11,13,0.532,0.229,0.239
2031-03-31,Monday,Spring,10.9,0,0,88,9,18,9,0.462,0.294,0.245
2031-04-01,Tuesday,Spring,8.1,1,0,77,7,18,8,0.408,0.291,0.301
2031-04-02,Wednesday,Spring,7.5,0,0,96,8,20,5,0.438,0.324,0.238
2031-04-03,Thursday,Spring,27.0,1,1,124,5,21,5,0.493,0.287,0.22
2031-04-04,Friday,Spring,4.3,0,0,95,6,24,10,0.382,0.35,0.268
2031-04-05,Saturday,Spring,17.8,0,0,138,5,34,5,0.466,0.337,0.197
2031-04-06,Sunday,Spring,11.4,1,0,120,12,30,5,0.43,0.316,0.254
2031-04-07,Monday,Spring,-0.2,1,0,76,12,36,5,0.331,0.385,0.284
2031-04-08,Tuesday,Spring,23.7,0,0,114,22,25,5,0.563,0.261,0.176
2031-04-09,Wednesday,Spring,30.9,0,0,139,24,30,5,0.585,0.256,0.159
2031-04-10,Thursday,Spring,12.9,1,0,76,14,36,6,0.432,0.325,0.244
2031-04-11,Friday,Spring,12.5,1,0,83,5,33,5,0.408,0.335,0.257
2031-04-12,Saturday,Spring,19.5,0,0,130,10,31,5,0.497,0.312,0.191
2031-04-13,Sunday,Spring,18.7,1,1,161,8,39,9,0.416,0.353,0.231
2031-04-14,Monday,Spring,-8.8,1,0,44,11,40,9,0.232,0.439,0.329
2031-04-15,Tuesday,Spring,15.5,0,0,86,6,44,7,0.429,0.371,0.2
2031-04-16,Wednesday,Spring,2.8,1,0,55,5,43,7,0.312,0.406,0.282
2031-04-17,Thursday,Spring,20.4,1,0,102,11,47,5,0.448,0.337,0.215
2031-04-18,Friday,Spring,19.7,0,1,140,16,34,7,0.478,0.342,0.18
2031-04-19,Saturday,Spring,22.0,0,0,127,12,26,5,0.528,0.284,0.188
2031-04-20,Sunday,Spring,26.6,0,0,157,19,28,6,0.56,0.266,0.175
2031-04-21,Monday,Spring,25.2,0,0,123,23,26,12,0.553,0.252,0.195
2031-04-22,Tuesday,Spring,7.3,0,0,92,21,10,20,0.471,0.239,0.291
2031-04-23,Wednesday,Spring,8.1,0,0,96,6,8,23,0.42,0.248,0.332
2031-04-24,Thursday,Spring,33.0,0,0,133,5,7,22,0.569,0.184,0.248
2031-04-25,Friday,Spring,-8.4,1,0,39,9,9,15,0.264,0.307,0.43
2031-04-26,Saturday,Spring,23.8,0,1,176,5,5,5,0.542,0.258,0.2
2031-04-27,Sunday,Spring,27.1,0,0,149,5,12,7,0.567,0.229,0.205
2031-04-28,Monday,Spring,25.6,1,0,92,7,5,5,0.556,0.194,0.25
2031-04-29,Tuesday,Spring,20.5,1,1,128,9,10,5,0.493,0.265,0.242
2031-04-30,Wednesday,Spring,17.1,0,0,100,12,8,5,0.549,0.233,0.218
2031-05-01,Thursday,Spring,17.5,1,0,84,8,9,5,0.504,0.228,0.268
2031-05-02,Friday,Spring,15.2,1,1,96,11,12,5,0.464,0.285,0.252
2031-05-03,Saturday,Spring,21.7,0,1,183,13,8,13,0.524,0.254,0.222
2031-05-04,Sunday,Spring,-2.4,1,0,93,20,9,9,0.394,0.267,0.339
2031-05-05,Monday,Spring,-5.7,0,1,102,21,5,11,0.373,0.332,0.295
2031-05-06,Tuesday,Spring,20.1,0,0,103,10,5,12,0.549,0.208,0.243
2031-05-07,Wednesday,Spring,7.7,1,0,66,16,6,10,0.461,0.226,0.312
2031-05-08,Thursday,Spring,7.7,0,0,81,11,5,5,0.493,0.254,0.254
2031-05-09,Friday,Spring,-3.6,1,0,47,9,16,5,0.323,0.335,0.342
2031-05-10,Saturday,Spring,0.1,1,1,141,11,6,12,0.35,0.308,0.342
2031-05-11,Sunday,Spring,28.6,1,0,146,18,7,15,0.566,0.176,0.258
2031-05-12,Monday,Spring,26.0,0,0,110,14,5,28,0.548,0.177,0.276
2031-05-13,Tuesday,Spring,20.0,0,0,114,11,14,38,0.468,0.214,0.317
2031-05-14,Wednesday,Spring,17.7,1,0,81,13,13,31,0.453,0.209,0.337
2031-05-15,Thursday,Spring,14.7,0,0,104,15,13,30,0.468,0.227,0.305
2031-05-16,Friday,Spring,17.0,0,1,125,12,14,32,0.443,0.266,0.292
2031-05-17,Saturday,Spring,27.8,0,0,161,11,19,31,0.512,0.22,0.268
2031-05-18,Sunday,Spring,22.4,1,0,127,10,13,29,0.474,0.204,0.321
2031-05-19,Monday,Spring,19.4,0,0,110,9,5,31,0.494,0.192,0.314
2031-05-20,Tuesday,Spring,6.3,0,0,88,13,15,26,0.411,0.266,0.323
2031-05-21,Wednesday,Spring,11.8,1,0,74,12,17,25,0.419,0.245,0.337
2031-05-22,Thursday,Spring,24.2,0,0,114,8,9,25,0.522,0.203,0.275
2031-05-23,Friday,Spring,23.5,1,0,100,14,9,24,0.509,0.189,0.302
2031-05-24,Saturday,Spring,15.9,0,1,182,15,12,25,0.463,0.266,0.271
2031-05-25,Sunday,Spring,24.0,0,0,155,8,14,21,0.518,0.225,0.257
2031-05-26,Monday,Spring,16.7,0,1,143,5,8,20,0.457,0.272,0.272
2031-05-27,Tuesday,Spring,21.0,1,0,103,5,6,15,0.499,0.201,0.301
2031-05-28,Wednesday,Spring,13.5,0,0,88,9,5,11,0.509,0.229,0.262
2031-05-29,Thursday,Spring,8.1,0,0,74,5,13,5,0.449,0.3,0.251
2031-05-30,Friday,Spring,7.5,0,0,96,6,16,5,0.44,0.313,0.247
2031-05-31,Saturday,Spring,13.7,0,0,131,8,18,9,0.478,0.285,0.237
2031-06-01,Sunday,Summer,9.5,1,1,146,11,16,6,0.416,0.317,0.267
2031-06-02,Monday,Summer,10.0,0,0,91,21,21,5,0.498,0.292,0.21
2031-06-03,Tuesday,Summer,0.4,1,0,71,22,22,5,0.404,0.311,0.284
2031-06-04,Wednesday,Summer,27.9,1,0,92,30,21,5,0.578,0.218,0.203
2031-06-05,Thursday,Summer,11.4,0,0,78,34,16,5,0.555,0.249,0.196
2031-06-06,Friday,Summer,25.4,0,0,105,41,15,5,0.632,0.204,0.164
2031-06-07,Saturday,Summer,14.4,0,0,130,41,15,11,0.573,0.222,0.205
2031-06-08,Sunday,Summer,14.6,0,0,149,46,16,19,0.564,0.212,0.224
2031-06-09,Monday,Summer,20.3,0,0,116,52,17,14,0.607,0.202,0.191
2031-06-10,Tuesday,Summer,39.4,1,0,105,60,23,7,0.653,0.18,0.167
2031-06-11,Wednesday,Summer,14.1,0,1,150,57,16,5,0.589,0.251,0.161
2031-06-12,Thursday,Summer,17.1,0,0,104,63,16,5,0.639,0.202,0.159
2031-06-13,Friday,Summer,12.2,0,0,99,66,20,11,0.603,0.216,0.181
2031-06-14,Saturday,Summer,14.6,0,0,158,69,23,6,0.621,0.221,0.157
2031-06-15,Sunday,Summer,22.5,0,0,151,69,22,5,0.651,0.204,0.144
2031-06-16,Monday,Summer,22.0,1,1,115,70,13,8,0.612,0.202,0.186
2031-06-17,Tuesday,Summer,14.4,0,0,95,68,11,5,0.651,0.186,0.163
2031-06-18,Wednesday,Summer,21.3,0,1,139,64,9,9,0.633,0.205,0.162
2031-06-19,Thursday,Summer,16.0,0,0,100,58,9,19,0.609,0.176,0.215
2031-06-20,Friday,Summer,18.1,0,1,143,54,8,23,0.576,0.206,0.218
2031-06-21,Saturday,Summer,27.9,0,1,188,64,15,22,0.613,0.201,0.185
2031-06-22,Sunday,Summer,5.4,0,0,131,65,13,27,0.554,0.195,0.251
2031-06-23,Monday,Summer,3.1,0,0,80,64,21,17,0.546,0.235,0.219
2031-06-24,Tuesday,Summer,0.7,0,0,109,67,24,5,0.563,0.26,0.177
2031-06-25,Wednesday,Summer,26.4,0,1,159,58,30,7,0.599,0.258,0.142
2031-06-26,Thursday,Summer,28.5,0,0,131,61,38,5,0.622,0.243,0.135
2031-06-27,Friday,Summer,17.1,0,0,107,69,52,11,0.56,0.287,0.153
2031-06-28,Saturday,Summer,27.4,1,0,154,71,51,12,0.575,0.251,0.173
2031-06-29,Sunday,Summer,6.2,0,0,127,71,51,6,0.534,0.314,0.152
2031-06-30,Monday,Summer,15.6,1,0,92,73,52,12,0.539,0.274,0.187
2031-07-01,Tuesday,Summer,7.5,0,1,112,75,48,6,0.531,0.327,0.143
2031-07-02,Wednesday,Summer,2.4,0,0,78,74,43,6,0.541,0.3,0.159
2031-07-03,Thursday,Summer,11.7,1,0,92,70,49,8,0.532,0.282,0.186
2031-07-04,Friday,Summer,23.2,0,0,123,74,48,8,0.601,0.262,0.137
2031-07-05,Saturday,Summer,5.1,0,1,154,78,49,11,0.517,0.326,0.158
2031-07-06,Sunday,Summer,21.8,0,0,153,74,53,8,0.587,0.276,0.137
2031-07-07,Monday,Summer,20.0,0,0,97,84,53,13,0.588,0.266,0.146
2031-07-08,Tuesday,Summer,15.9,1,0,90,81,51,11,0.557,0.264,0.179
2031-07-09,Wednesday,Summer,5.4,1,0,51,72,37,9,0.531,0.263,0.206
2031-07-10,Thursday,Summer,5.0,0,0,99,62,38,8,0.532,0.293,0.174
2031-07-11,Friday,Summer,3.7,0,0,85,47,35,7,0.498,0.312,0.189
2031-07-12,Saturday,Summer,-1.9,0,0,109,54,32,5,0.498,0.313,0.189
2031-07-13,Sunday,Summer,16.9,0,0,144,45,29,5,0.574,0.262,0.165
2031-07-14,Monday,Summer,25.4,1,0,101,43,29,7,0.572,0.232,0.196
2031-07-15,Tuesday,Summer,5.4,0,0,85,45,25,10,0.518,0.275,0.207
2031-07-16,Wednesday,Summer,10.8,0,0,75,37,25,11,0.523,0.27,0.208
2031-07-17,Thursday,Summer,30.9,0,1,156,37,19,6,0.604,0.243,0.152
2031-07-18,Friday,Summer,17.1,0,1,141,40,16,8,0.559,0.261,0.18
2031-07-19,Saturday,Summer,21.6,0,0,159,36,30,6,0.57,0.263,0.167
2031-07-20,Sunday,Summer,11.3,0,0,131,41,41,11,0.501,0.31,0.189
2031-07-21,Monday,Summer,25.8,0,0,134,39,40,5,0.573,0.278,0.15
2031-07-22,Tuesday,Summer,-2.0,0,0,88,27,39,5,0.395,0.391,0.214
2031-07-23,Wednesday,Summer,12.8,1,0,78,21,39,5,0.448,0.323,0.229
2031-07-24,Thursday,Summer,-9.2,0,0,67,16,44,5,0.272,0.482,0.247
2031-07-25,Friday,Summer,9.4,0,0,72,19,45,11,0.422,0.366,0.212
2031-07-26,Saturday,Summer,26.9,0,0,161,16,38,7,0.53,0.297,0.173
2031-07-27,Sunday,Summer,18.4,1,0,138,15,42,11,0.446,0.316,0.239
2031-07-28,Monday,Summer,21.8,0,0,99,13,41,14,0.477,0.317,0.206
2031-07-29,Tuesday,Summer,24.2,0,0,100,18,42,15,0.497,0.304,0.199
2031-07-30,Wednesday,Summer,21.0,0,0,129,19,43,16,0.481,0.313,0.206
2031-07-31,Thursday,Summer,21.1,0,1,137,14,34,11,0.472,0.335,0.192
2031-08-01,Friday,Summer,33.2,0,0,130,11,37,9,0.544,0.282,0.174
2031-08-02,Saturday,Summer,5.7,0,0,121,12,37,11,0.388,0.372,0.24
2031-08-03,Sunday,Summer,8.4,0,0,152,9,33,5,0.418,0.365,0.217
2031-08-04,Monday,Summer,20.9,0,0,117,10,18,5,0.537,0.263,0.2
2031-08-05,Tuesday,Summer,19.5,0,0,111,14,17,6,0.54,0.257,0.203
2031-08-06,Wednesday,Summer,10.3,0,0,83,11,16,5,0.48,0.291,0.229
2031-08-07,Thursday,Summer,18.6,1,0,104,14,14,5,0.515,0.235,0.249
2031-08-08,Friday,Summer,18.1,0,0,119,15,13,5,0.549,0.246,0.206
2031-08-09,Saturday,Summer,-2.2,0,1,150,18,22,7,0.363,0.395,0.242
2031-08-10,Sunday,Summer,9.7,0,0,124,21,22,14,0.472,0.284,0.245
2031-08-11,Monday,Summer,30.1,1,1,130,24,19,16,0.532,0.239,0.229
2031-08-12,Tuesday,Summer,20.9,0,0,109,26,17,22,0.538,0.221,0.241
2031-08-13,Wednesday,Summer,2.1,0,0,90,19,18,19,0.41,0.292,0.298
2031-08-14,Thursday,Summer,11.6,0,0,105,10,18,16,0.453,0.279,0.268
2031-08-15,Friday,Summer,6.6,0,0,83,7,12,26,0.396,0.263,0.34
2031-08-16,Saturday,Summer,20.5,0,0,142,5,5,28,0.496,0.197,0.307
2031-08-17,Sunday,Summer,22.2,1,0,114,7,5,25,0.49,0.183,0.326
2031-08-18,Monday,Summer,3.7,1,1,95,10,5,28,0.348,0.268,0.384
2031-08-19,Tuesday,Summer,37.0,1,1,151,9,5,20,0.55,0.197,0.253
2031-08-20,Wednesday,Summer,16.3,1,0,89,8,5,24,0.461,0.195,0.343
2031-08-21,Thursday,Summer,11.0,0,0,76,12,5,23,0.47,0.217,0.313
2031-08-22,Friday,Summer,12.2,1,1,105,10,5,17,0.431,0.256,0.314
2031-08-23,Saturday,Summer,27.0,0,1,196,10,5,24,0.525,0.223,0.252
2031-08-24,Sunday,Summer,4.4,1,0,84,8,17,33,0.337,0.262,0.401
2031-08-25,Monday,Summer,13.9,0,1,124,5,16,25,0.411,0.301,0.287
2031-08-26,Tuesday,Summer,31.9,1,0,119,5,17,26,0.507,0.206,0.287
2031-08-27,Wednesday,Summer,2.1,1,0,69,5,16,28,0.316,0.278,0.406
2031-08-28,Thursday,Summer,19.9,1,0,93,5,22,27,0.433,0.247,0.319
2031-08-29,Friday,Summer,42.0,0,1,172,5,13,25,0.559,0.22,0.22
2031-08-30,Saturday,Summer,22.9,1,0,143,5,5,22,0.495,0.186,0.318
2031-08-31,Sunday,Summer,18.6,0,0,163,8,5,23,0.506,0.203,0.292
2031-09-01,Monday,Autumn,17.1,1,0,93,15,6,18,0.498,0.195,0.307
2031-09-02,Tuesday,Autumn,8.4,0,1,110,14,5,20,0.438,0.273,0.289
2031-09-03,Wednesday,Autumn,20.4,0,0,109,14,5,20,0.54,0.195,0.266
2031-09-04,Thursday,Autumn,15.3,0,0,98,12,5,10,0.533,0.22,0.247
2031-09-05,Friday,Autumn,23.6,0,1,146,16,10,10,0.544,0.255,0.202
2031-09-06,Saturday,Autumn,37.6,0,0,177,20,18,7,0.626,0.208,0.166
2031-09-07,Sunday,Autumn,19.1,1,0,137,16,21,13,0.489,0.247,0.264
2031-09-08,Monday,Autumn,20.4,0,0,98,12,28,11,0.501,0.288,0.211
2031-09-09,Tuesday,Autumn,13.3,1,1,101,13,26,12,0.416,0.322,0.261
